ML_ID,Species,Tags
628270006,Mallard,Ducks photo female
533371801,Mallard,Ducks photo female
142024421,Mallard,Ducks photo female
414669071,Mallard,Ducks photo female
139194981,Mallard,Ducks photo female
630996115,Mallard,Ducks photo female
437457721,Mallard,Ducks photo female
632016102,Mallard,Ducks photo female
142024441,Mallard,Ducks photo female
590464101,Mallard,Ducks photo female
421444051,Mallard,Ducks photo female
592458871,Mallard,Ducks photo female
623180410,Mallard,Ducks photo female
626490592,Mallard,Ducks photo female
243751921,Mallard,Ducks photo female
615535637,Mallard,Ducks photo female
129855631,Mallard,Ducks photo female
197024481,Mallard,Ducks photo female
43791771,Mallard,Ducks photo female
548279611,Mallard,Ducks photo female
617895200,American Black Duck,Ducks photo
617895194,American Black Duck,Ducks photo
302426031,American Black Duck,Ducks photo
307717461,American Black Duck,Ducks photo
567898711,American Black Duck,Ducks photo
515242081,American Black Duck,Ducks photo
617895196,American Black Duck,Ducks photo
139201721,American Black Duck,Ducks photo
38611141,American Black Duck,Ducks photo
90602831,American Black Duck,Ducks photo
291660381,American Black Duck,Ducks photo
613893807,American Black Duck,Ducks photo
84195391,American Black Duck,Ducks photo
611354195,American Black Duck,Ducks photo
629515511,American Black Duck,Ducks photo
612598301,American Black Duck,Ducks photo
394244531,American Black Duck,Ducks photo
526927751,American Black Duck,Ducks photo
611353919,American Black Duck,Ducks photo
396501041,American Black Duck,Ducks photo
631421516,Mottled Duck,Ducks photo
412073111,Mottled Duck,Ducks photo
576540871,Mottled Duck,Ducks photo
399775051,Mottled Duck,Ducks photo
613617159,Mottled Duck,Ducks photo
546529931,Mottled Duck,Ducks photo
631488737,Mottled Duck,Ducks photo
43688341,Mottled Duck,Ducks photo
458687211,Mottled Duck,Ducks photo
433241161,Mottled Duck,Ducks photo
458687171,Mottled Duck,Ducks photo
613617160,Mottled Duck,Ducks photo
617653173,Mottled Duck,Ducks photo
157428671,Mottled Duck,Ducks photo
638083457,Mottled Duck,Ducks photo
561749041,Mottled Duck,Ducks photo
400300411,Mottled Duck,Ducks photo
613727345,Mottled Duck,Ducks photo
499801781,Mottled Duck,Ducks photo
399775181,Mottled Duck,Ducks photo
633640075,Mexican Duck,Ducks photo
206966251,Mexican Duck,Ducks photo
126579011,Mexican Duck,Ducks photo
206966171,Mexican Duck,Ducks photo
46186291,Mexican Duck,Ducks photo
611384699,Mexican Duck,Ducks photo
392349111,Mexican Duck,Ducks photo
411346661,Mexican Duck,Ducks photo
611973902,Mexican Duck,Ducks photo
633883776,Mexican Duck,Ducks photo
117770821,Mexican Duck,Ducks photo
350960471,Mexican Duck,Ducks photo
207452321,Mexican Duck,Ducks photo
317916171,Mexican Duck,Ducks photo
206966261,Mexican Duck,Ducks photo
47025031,Mexican Duck,Ducks photo
611973901,Mexican Duck,Ducks photo
301946531,Mexican Duck,Ducks photo
183619221,Mexican Duck,Ducks photo
523687991,Mexican Duck,Ducks photo
285601691,Gadwall,Ducks photo
231605061,Gadwall,Ducks photo
419224941,Gadwall,Ducks photo
314508601,Gadwall,Ducks photo
403002961,Gadwall,Ducks photo
203043821,Gadwall,Ducks photo
87246371,Gadwall,Ducks photo
36384581,Gadwall,Ducks photo
314508551,Gadwall,Ducks photo
204517971,Gadwall,Ducks photo
624117461,Gadwall,Ducks photo
517852161,Gadwall,Ducks photo
520771891,Gadwall,Ducks photo
283493241,Gadwall,Ducks photo
51383651,Gadwall,Ducks photo
382127161,Gadwall,Ducks photo
581549921,Gadwall,Ducks photo
302645641,Gadwall,Ducks photo
394414491,Gadwall,Ducks photo
475060051,Gadwall,Ducks photo
611755646,Green-Winged Teal,Ducks photo female
540122011,Green-Winged Teal,Ducks photo female
213090991,Green-Winged Teal,Ducks photo female
310022741,Green-Winged Teal,Ducks photo female
277153541,Green-Winged Teal,Ducks photo female
206993461,Green-Winged Teal,Ducks photo female
286304841,Green-Winged Teal,Ducks photo female
86934341,Green-Winged Teal,Ducks photo female
207953041,Green-Winged Teal,Ducks photo female
68556661,Green-Winged Teal,Ducks photo female
139194931,Green-Winged Teal,Ducks photo female
68276361,Green-Winged Teal,Ducks photo female
641112938,Green-Winged Teal,Ducks photo female
533093581,Green-Winged Teal,Ducks photo female
196168241,Green-Winged Teal,Ducks photo female
630376296,Green-Winged Teal,Ducks photo female
264075891,Green-Winged Teal,Ducks photo female
373624351,Green-Winged Teal,Ducks photo female
527866951,Green-Winged Teal,Ducks photo female
297234561,Green-Winged Teal,Ducks photo female
218668711,Blue-Winged Teal,Ducks photo female
76766571,Blue-Winged Teal,Ducks photo female
279624991,Blue-Winged Teal,Ducks photo female
389880791,Blue-Winged Teal,Ducks photo female
268573771,Blue-Winged Teal,Ducks photo female
43349981,Blue-Winged Teal,Ducks photo female
541898851,Blue-Winged Teal,Ducks photo female
509713461,Blue-Winged Teal,Ducks photo female
279725581,Blue-Winged Teal,Ducks photo female
396003161,Blue-Winged Teal,Ducks photo female
279667371,Blue-Winged Teal,Ducks photo female
190523171,Blue-Winged Teal,Ducks photo female
341427161,Blue-Winged Teal,Ducks photo female
65874741,Blue-Winged Teal,Ducks photo female
329197761,Blue-Winged Teal,Ducks photo female
543929841,Blue-Winged Teal,Ducks photo female
563733271,Blue-Winged Teal,Ducks photo female
198853201,Blue-Winged Teal,Ducks photo female
196363641,Blue-Winged Teal,Ducks photo female
323622691,Blue-Winged Teal,Ducks photo female
540600151,Cinnamon Teal,Ducks photo female
321184501,Cinnamon Teal,Ducks photo female
388081841,Cinnamon Teal,Ducks photo female
542250991,Cinnamon Teal,Ducks photo female
612676245,Cinnamon Teal,Ducks photo female
88932671,Cinnamon Teal,Ducks photo female
514611101,Cinnamon Teal,Ducks photo female
324503481,Cinnamon Teal,Ducks photo female
325579931,Cinnamon Teal,Ducks photo female
67054611,Cinnamon Teal,Ducks photo female
631945702,Cinnamon Teal,Ducks photo female
282389881,Cinnamon Teal,Ducks photo female
187941601,Cinnamon Teal,Ducks photo female
554060581,Cinnamon Teal,Ducks photo female
198712141,Cinnamon Teal,Ducks photo female
554600831,Cinnamon Teal,Ducks photo female
279328221,Cinnamon Teal,Ducks photo female
343195621,Cinnamon Teal,Ducks photo female
320710321,Cinnamon Teal,Ducks photo female
419040951,Cinnamon Teal,Ducks photo female
266770121,American Wigeon,Ducks photo female
595232511,American Wigeon,Ducks photo female
359257661,American Wigeon,Ducks photo female
522739791,American Wigeon,Ducks photo female
139049961,American Wigeon,Ducks photo female
210185801,American Wigeon,Ducks photo female
